Clock, Period, Thermistor1, Thermistor2, Thermistor3, Thermistor4, Heater1, Heater2, Heater3, Heater4
1, NORMAL, 0.0, -5.0, 2.0, 2.0, 0, 0, 0, 0
2, NORMAL, -1.0, -6.0, 1.0, 1.0, 0, 0, 0, 0
3, NORMAL, 0.0, -5.0, 0.0, 0.0, 1, 1, 0, 0
4, NORMAL, 1.0, -4.0, -1.0, -1.0, 1, 1, 0, 0
5, NORMAL, 0.0, -3.0, 0.0, 0.0, 0, 1, 1, 1
6, NORMAL, 1.0, -2.0, -1.0, -1.0, 1, 1, 0, 0
7, NORMAL, 0.0, -1.0, 0.0, 0.0, 0, 1, 1, 1
8, NORMAL, -1.0, 0.0, 1.0, 1.0, 0, 1, 1, 1
9, NORMAL, 0.0, 1.0, 0.0, 0.0, 1, 1, 0, 0
10, NORMAL, -1.0, 2.0, 1.0, 1.0, 0, 1, 1, 1
11, NORMAL, 0.0, 1.0, 0.0, 0.0, 1, 0, 0, 0
12, NORMAL, 1.0, 2.0, -1.0, -1.0, 1, 1, 0, 0
13, NORMAL, 0.0, 1.0, 0.0, 0.0, 0, 0, 1, 1
14, NORMAL, 1.0, 2.0, -1.0, -1.0, 1, 1, 0, 0
15, NORMAL, 0.0, 1.0, 0.0, 0.0, 0, 0, 1, 1
16, NORMAL, -1.0, 2.0, 1.0, 1.0, 0, 1, 1, 1
17, NORMAL, 0.0, 1.0, 0.0, 0.0, 1, 0, 0, 0
18, NORMAL, -1.0, 0.0, 1.0, 1.0, 0, 0, 1, 1
19, NORMAL, 0.0, 1.0, 0.0, 0.0, 1, 1, 0, 0
20, NORMAL, 1.0, 0.0, -1.0, -1.0, 1, 0, 0, 0
21, NORMAL, 0.0, 1.0, 0.0, 0.0, 0, 1, 1, 1
22, NORMAL, 1.0, 0.0, -1.0, -1.0, 1, 0, 0, 0
23, NORMAL, 0.0, 1.0, 0.0, 0.0, 0, 1, 1, 1
24, NORMAL, -1.0, 0.0, 1.0, 1.0, 0, 0, 1, 1
25, NORMAL, 0.0, 1.0, 0.0, 0.0, 1, 1, 0, 0
26, NORMAL, -1.0, 0.0, 1.0, 1.0, 0, 0, 1, 1
27, NORMAL, 0.0, 1.0, 0.0, 0.0, 1, 1, 0, 0
28, NORMAL, 1.0, 0.0, -1.0, -1.0, 1, 0, 0, 0
29, NORMAL, 0.0, 1.0, 0.0, 0.0, 0, 1, 1, 1
30, NORMAL, 1.0, 0.0, -1.0, -1.0, 1, 0, 0, 0
31, NORMAL, 0.0, 1.0, 0.0, 0.0, 0, 1, 1, 1
32, ECLIPSE, -7.0, -6.0, 4.0, 4.0, 0, 0, 1, 1
33, ECLIPSE, -3.0, -2.0, -3.0, -3.0, 1, 1, 0, 0
34, ECLIPSE, 1.0, 2.0, 1.0, 1.0, 1, 1, 1, 1
35, ECLIPSE, -6.0, -5.0, -6.0, -6.0, 0, 0, 0, 0
36, ECLIPSE, -2.0, -1.0, -2.0, -2.0, 1, 1, 1, 1
37, ECLIPSE, 2.0, 3.0, 2.0, 2.0, 1, 1, 1, 1
38, ECLIPSE, -5.0, -4.0, -5.0, -5.0, 0, 0, 0, 0
39, ECLIPSE, -1.0, 0.0, -1.0, -1.0, 1, 1, 1, 1
40, ECLIPSE, 3.0, 4.0, 3.0, 3.0, 1, 1, 1, 1
41, ECLIPSE, -4.0, -3.0, -4.0, -4.0, 0, 0, 0, 0
42, ECLIPSE, 0.0, 1.0, 0.0, 0.0, 1, 1, 1, 1
43, ECLIPSE, 4.0, 5.0, 4.0, 4.0, 1, 1, 1, 1
44, ECLIPSE, -3.0, -2.0, -3.0, -3.0, 0, 0, 0, 0
45, ECLIPSE, 1.0, 2.0, 1.0, 1.0, 1, 1, 1, 1
46, ECLIPSE, 5.0, -5.0, -6.0, -6.0, 1, 0, 0, 0
47, ECLIPSE, -2.0, -1.0, -2.0, -2.0, 0, 1, 1, 1
48, ECLIPSE, 2.0, 3.0, 2.0, 2.0, 1, 1, 1, 1
